Course No,Section,Instructor,Enrollment,Responses,Percent
BIMM 120,A03,"Pirino, Giorgia",30,29,96.67%
BIMM 120,A04,"Pirino, Giorgia",8,8,100.00%
BIMM 120,A05,"Pirino, Giorgia",24,18,75.00%
BIMM 120,A06,"Pirino, Giorgia",23,22,95.65%
BIMM 120,A07,"Pirino, Giorgia",16,13,81.25%
BIMM 121,A01,"Gustafson-Brown, Cindy",17,17,100.00%
BIMM 121,A02,"Gustafson-Brown, Cindy",15,13,86.67%
BIMM 121,B01,"Pirino, Giorgia",19,18,94.74%
BIMM 121,B02,"Pirino, Giorgia",19,19,100.00%
BIMM 122,A01,"Byrne, Kathryne",20,10,50.00%
BIMM 122,A02,"Byrne, Kathryne",13,6,46.15%
BIMM 122,A03,"Byrne, Kathryne",15,9,60.00%
BIMM 122,A04,"Byrne, Kathryne",6,2,33.33%
BIMM 124,A02,"Gustafson-Brown, Cindy",15,8,53.33%
BIMM 124,A03,"Gustafson-Brown, Cindy",25,20,80.00%
BIMM 124,A04,"Gustafson-Brown, Cindy",26,14,53.85%
BIMM 124,A05,"Gustafson-Brown, Cindy",21,17,80.95%
BIMM 124,A06,"Gustafson-Brown, Cindy",25,17,68.00%
BIMM 124,A07,"Gustafson-Brown, Cindy",27,23,85.19%
BIMM 140,A01,"Hao, Nan",24,16,66.67%
BIMM 140,A01,"Suel, Gurol Mehmet",24,16,66.67%
BIMM 140,A02,"Hao, Nan",24,17,70.83%
BIMM 140,A02,"Suel, Gurol Mehmet",24,17,70.83%
BIMM 140,A03,"Hao, Nan",23,17,73.91%
BIMM 140,A03,"Suel, Gurol Mehmet",23,17,73.91%
BIMM 140,A04,"Hao, Nan",24,18,75.00%
BIMM 140,A04,"Suel, Gurol Mehmet",24,18,75.00%
BIMM 143,A01,"Grant, Barry J",22,17,77.27%
BIMM 194,A00,"Mayfield, Stephen P.",22,10,45.45%
BIMM 194,B00,"Golden, James W",22,8,36.36%
BIPN 100,A01,"Bloodgood, Brenda Laurie",31,28,90.32%
BIPN 100,A02,"Bloodgood, Brenda Laurie",31,29,93.55%
BIPN 100,A03,"Bloodgood, Brenda Laurie",30,27,90.00%
BIPN 100,A04,"Bloodgood, Brenda Laurie",30,26,86.67%
BIPN 100,A05,"Bloodgood, Brenda Laurie",31,30,96.77%
BIPN 100,A06,"Bloodgood, Brenda Laurie",31,28,90.32%
BIPN 100,A07,"Bloodgood, Brenda Laurie",32,29,90.63%
BIPN 100,A08,"Bloodgood, Brenda Laurie",32,30,93.75%
BIPN 100,A09,"Bloodgood, Brenda Laurie",32,29,90.63%
BIPN 100,A10,"Bloodgood, Brenda Laurie",29,28,96.55%
BIPN 100,A11,"Bloodgood, Brenda Laurie",31,27,87.10%
BIPN 100,A12,"Bloodgood, Brenda Laurie",32,31,96.88%
BIPN 100,B01,"Cooke, James Edward",21,16,76.19%
BIPN 100,B02,"Cooke, James Edward",23,14,60.87%
BIPN 100,C01,"Reyes Gonzalez, Catalina",32,29,90.63%
BIPN 100,C02,"Reyes Gonzalez, Catalina",30,21,70.00%
BIPN 100,C03,"Reyes Gonzalez, Catalina",35,28,80.00%
BIPN 100,C04,"Reyes Gonzalez, Catalina",28,24,85.71%
BIPN 100,C05,"Reyes Gonzalez, Catalina",28,24,85.71%
BIPN 100,C06,"Reyes Gonzalez, Catalina",31,26,83.87%
BIPN 100,C07,"Reyes Gonzalez, Catalina",37,33,89.19%
BIPN 100,C08,"Reyes Gonzalez, Catalina",10,9,90.00%
BIPN 100,C09,"Reyes Gonzalez, Catalina",7,6,85.71%
BIPN 102,A01,"Fortes, P. A. George",30,14,46.67%
BIPN 102,A02,"Fortes, P. A. George",24,9,37.50%
BIPN 102,A03,"Fortes, P. A. George",8,3,37.50%
BIPN 102,A04,"Fortes, P. A. George",7,2,28.57%
BIPN 102,A05,"Fortes, P. A. George",23,9,39.13%
BIPN 102,A06,"Fortes, P. A. George",23,8,34.78%
BIPN 105,A01,"Armour, Jon Christopher",28,10,35.71%
BIPN 105,A02,"Armour, Jon Christopher",26,14,53.85%
BIPN 105,A03,"Armour, Jon Christopher",26,11,42.31%
BIPN 105,A04,"Armour, Jon Christopher",15,4,26.67%
BIPN 105,B01,"Reyes Gonzalez, Catalina",27,25,92.59%
BIPN 105,B02,"Reyes Gonzalez, Catalina",22,20,90.91%
BIPN 140,A01,"Spitzer, Nicholas",24,15,62.50%
BIPN 140,A01,"Su, Chih-Ying",24,15,62.50%
BIPN 140,A02,"Spitzer, Nicholas",23,8,34.78%
BIPN 140,A02,"Su, Chih-Ying",23,8,34.78%
BIPN 140,A03,"Spitzer, Nicholas",11,3,27.27%
BIPN 140,A03,"Su, Chih-Ying",11,3,27.27%
BIPN 140,A04,"Spitzer, Nicholas",16,7,43.75%
BIPN 140,A04,"Su, Chih-Ying",16,7,43.75%
BIPN 140,A05,"Spitzer, Nicholas",10,6,60.00%
BIPN 140,A05,"Su, Chih-Ying",10,6,60.00%
BIPN 140,A06,"Spitzer, Nicholas",17,6,35.29%
BIPN 140,A06,"Su, Chih-Ying",17,5,29.41%
BIPN 160,A01,"Root, Cory Matthew",23,14,60.87%
BIPN 160,A02,"Root, Cory Matthew",24,14,58.33%
BIPN 194,A00,"Banghart, Matthew Ryan",20,9,45.00%
BIPN 194,B00,"Pekkurnaz Banghart, Gulcin",14,7,50.00%
BIPN 194,D00,"Pfaff, Samuel",11,5,45.45%
BISP 194,A00,"Yelon, Deborah",27,22,81.48%
BISP 194,B00,"Wertheim, Joel Okrent",30,20,66.67%
BISP 195,1,"Cooke, James Edward",41,19,46.34%
BISP 195,2,"Cooke, James Edward",39,20,51.28%
BISP 195,3,"Cooke, James Edward",22,13,59.09%
CAT 1,A01,"Bigham, David Joseph",16,11,68.75%
CAT 1,A02,"Bigham, David Joseph",17,10,58.82%
CAT 1,A03,"Bigham, David Joseph",16,14,87.50%
CAT 1,A04,"Bigham, David Joseph",16,10,62.50%
CAT 1,A05,"Bigham, David Joseph",16,11,68.75%
CAT 1,A06,"Bigham, David Joseph",17,13,76.47%
CAT 1,A07,"Bigham, David Joseph",16,11,68.75%
CAT 1,A08,"Bigham, David Joseph",16,9,56.25%
CAT 1,A09,"Bigham, David Joseph",16,11,68.75%
CAT 1,A10,"Bigham, David Joseph",16,12,75.00%
CAT 1,A11,"Bigham, David Joseph",16,13,81.25%
CAT 1,A12,"Bigham, David Joseph",16,9,56.25%
CAT 1,B01,"Bronstein, Phoebe Malan",16,16,100.00%
CAT 1,B02,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,B03,"Bronstein, Phoebe Malan",17,17,100.00%
CAT 1,B04,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,B05,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,B06,"Bronstein, Phoebe Malan",16,16,100.00%
CAT 1,B07,"Bronstein, Phoebe Malan",17,17,100.00%
CAT 1,B08,"Bronstein, Phoebe Malan",16,16,100.00%
CAT 1,B09,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,B10,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,B11,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,B12,"Bronstein, Phoebe Malan",16,15,93.75%
CAT 1,C01,"Glaser, Amelia",16,14,87.50%
CAT 1,C02,"Glaser, Amelia",16,15,93.75%
CAT 1,C03,"Glaser, Amelia",16,15,93.75%
CAT 1,C04,"Glaser, Amelia",16,16,100.00%
CAT 1,C05,"Glaser, Amelia",17,14,82.35%
CAT 1,C06,"Glaser, Amelia",17,17,100.00%
CAT 1,C07,"Glaser, Amelia",16,14,87.50%
CAT 1,C08,"Glaser, Amelia",15,13,86.67%
CAT 1,C09,"Glaser, Amelia",17,16,94.12%
CAT 1,C10,"Glaser, Amelia",17,13,76.47%
CAT 1,D01,"Borgo, David Garcia",17,14,82.35%
CAT 1,D02,"Borgo, David Garcia",17,16,94.12%
CAT 1,D03,"Borgo, David Garcia",17,17,100.00%
CAT 1,D04,"Borgo, David Garcia",17,15,88.24%
CAT 1,D05,"Borgo, David Garcia",17,17,100.00%
CAT 1,D06,"Borgo, David Garcia",17,16,94.12%
CAT 1,D07,"Borgo, David Garcia",17,17,100.00%
CAT 1,D08,"Borgo, David Garcia",17,17,100.00%
CAT 1,D09,"Borgo, David Garcia",17,17,100.00%
CAT 1,D10,"Borgo, David Garcia",17,17,100.00%
CAT 1,E01,"Ano, Michael Shigeya",16,13,81.25%
CAT 1,E02,"Ano, Michael Shigeya",16,14,87.50%
CAT 1,E03,"Ano, Michael Shigeya",15,12,80.00%
CAT 1,E04,"Ano, Michael Shigeya",14,11,78.57%
CAT 1,E05,"Ano, Michael Shigeya",15,12,80.00%
CAT 1,E06,"Ano, Michael Shigeya",16,13,81.25%
CAT 1,E07,"Ano, Michael Shigeya",16,12,75.00%
CAT 1,E08,"Ano, Michael Shigeya",15,8,53.33%
CAT 1,E09,"Ano, Michael Shigeya",16,13,81.25%
CAT 1,E10,"Ano, Michael Shigeya",13,9,69.23%
CAT 1,F01,"Pantoja, Jennifer Metten",17,17,100.00%
CAT 1,F02,"Pantoja, Jennifer Metten",16,16,100.00%
CAT 1,F03,"Pantoja, Jennifer Metten",16,16,100.00%
CAT 1,F04,"Pantoja, Jennifer Metten",16,16,100.00%
CAT 1,F05,"Pantoja, Jennifer Metten",16,16,100.00%
CAT 1,F06,"Pantoja, Jennifer Metten",16,16,100.00%
CAT 1,F07,"Pantoja, Jennifer Metten",15,15,100.00%
CAT 1,F08,"Pantoja, Jennifer Metten",13,13,100.00%
CAT 1,F09,"Pantoja, Jennifer Metten",16,15,93.75%
CAT 1,F10,"Pantoja, Jennifer Metten",13,13,100.00%
CAT 1,F11,"Pantoja, Jennifer Metten",15,15,100.00%
CAT 1,F12,"Pantoja, Jennifer Metten",14,14,100.00%
CAT 125,A01,"Bigham, David Joseph",15,9,60.00%
CAT 125,A03,"Bigham, David Joseph",16,6,37.50%
CAT 125,A04,"Bigham, David Joseph",14,5,35.71%
CAT 125,A05,"Bigham, David Joseph",15,4,26.67%
CAT 125,A06,"Bigham, David Joseph",15,4,26.67%
CAT 125,A07,"Bigham, David Joseph",15,6,40.00%
CAT 125,B01,"Smith, Ashley Elizabeth",14,14,100.00%
CAT 125,B02,"Smith, Ashley Elizabeth",15,13,86.67%
CAT 125,B03,"Smith, Ashley Elizabeth",15,15,100.00%
CAT 125,B04,"Smith, Ashley Elizabeth",14,12,85.71%
CAT 125,B05,"Smith, Ashley Elizabeth",15,14,93.33%
CAT 125,B06,"Smith, Ashley Elizabeth",15,15,100.00%
CAT 125,B07,"Smith, Ashley Elizabeth",14,13,92.86%
CAT 125,B08,"Smith, Ashley Elizabeth",15,13,86.67%
CAT 125,B09,"Smith, Ashley Elizabeth",15,13,86.67%
CAT 125,B10,"Smith, Ashley Elizabeth",16,15,93.75%
CAT 125R,A01,"Zhang, Kefei Kevin",11,10,90.91%
CAT 125R,A02,"Zhang, Kefei Kevin",11,8,72.73%
CAT 125R,A03,"Zhang, Kefei Kevin",11,8,72.73%
CAT 125R,A04,"Zhang, Kefei Kevin",11,8,72.73%
CAT 125R,A05,"Zhang, Kefei Kevin",11,6,54.55%
CAT 125R,A06,"Zhang, Kefei Kevin",10,6,60.00%
CAT 125R,A07,"Zhang, Kefei Kevin",10,6,60.00%
CAT 125R,A08,"Zhang, Kefei Kevin",11,5,45.45%
CAT 125R,A09,"Zhang, Kefei Kevin",11,6,54.55%
CAT 125R,A10,"Zhang, Kefei Kevin",10,8,80.00%
CAT 125R,A11,"Zhang, Kefei Kevin",11,8,72.73%
CAT 125R,A12,"Zhang, Kefei Kevin",11,8,72.73%
CAT 125R,A13,"Zhang, Kefei Kevin",9,2,22.22%
CAT 125R,A14,"Zhang, Kefei Kevin",9,4,44.44%
CAT 125R,A15,"Zhang, Kefei Kevin",11,4,36.36%
CAT 125R,A16,"Zhang, Kefei Kevin",10,8,80.00%
CAT 125R,A17,"Zhang, Kefei Kevin",11,9,81.82%
CAT 125R,A18,"Zhang, Kefei Kevin",10,9,90.00%
CENG 100,A00,"Chen, Zheng",100,57,57.00%
CENG 100,B00,"Powell, Alyssa",47,27,57.45%
CENG 101A,A00,"Miller, David R.",173,89,51.45%
CENG 120,B00,"Russ, Benjamin Edward",98,86,87.76%
CENG 122,A00,"Powell, Alyssa",51,42,82.35%
CENG 122,B00,"Zhang, Liangfang",48,34,70.83%
CENG 15,A00,"Lubarda, Vlado",63,30,47.62%
CENG 15,B00,"Lubarda, Vlado",58,27,46.55%
CENG 15,C00,"Drews, Aaron",24,12,50.00%
CENG 4,A01,"Drews, Aaron",36,20,55.56%
CENG 4,A02,"Drews, Aaron",36,18,50.00%
CENG 4,A03,"Drews, Aaron",35,19,54.29%
CENG 4,A04,"Drews, Aaron",36,19,52.78%
CENG 4,A05,"Drews, Aaron",33,14,42.42%
CGS 100A,A00,"Whitley, Leila Marie",24,11,45.83%
CGS 111,A00,"Whitley, Leila Marie",31,13,41.94%
CGS 122,A00,"Icreverzi, Kimberly Heathe",10,4,40.00%
CGS 190,A00,"Kaplan, Sara Clarke",4,3,75.00%
CGS 2A,A01,"Icreverzi, Kimberly Heathe",27,11,40.74%
CGS 2A,A02,"Icreverzi, Kimberly Heathe",22,12,54.55%
CGS 2A,A03,"Icreverzi, Kimberly Heathe",26,7,26.92%
CGS 2A,A04,"Icreverzi, Kimberly Heathe",25,16,64.00%
CGS 87,B00,"Wesling, Megan E.",11,8,72.73%
CGS 87,C00,"Nguyen, Hoang Tan",11,7,63.64%
CHEM 100A,A01,"Leigh, Brian",24,9,37.50%
CHEM 100A,A02,"Leigh, Brian",23,10,43.48%
CHEM 100A,A03,"Leigh, Brian",24,9,37.50%
CHEM 100A,A04,"Leigh, Brian",24,9,37.50%
CHEM 100A,A05,"Leigh, Brian",23,9,39.13%
CHEM 100A,A06,"Leigh, Brian",24,14,58.33%
CHEM 105A,A01,"Crowell, John E",33,8,24.24%
CHEM 105A,B01,"Crowell, John E",21,7,33.33%
CHEM 108,A01,"Ghosh, Gourisankar",24,17,70.83%
CHEM 108,A02,"Ghosh, Gourisankar",23,15,65.22%
CHEM 108,B01,"Ghosh, Gourisankar",24,6,25.00%
CHEM 108,B02,"Ghosh, Gourisankar",24,13,54.17%
CHEM 11,A01,"Mrse, Anthony Adrian",42,15,35.71%
CHEM 11,A02,"Mrse, Anthony Adrian",44,17,38.64%
CHEM 11,A03,"Mrse, Anthony Adrian",44,22,50.00%
CHEM 11,A04,"Mrse, Anthony Adrian",39,14,35.90%
CHEM 11,A05,"Mrse, Anthony Adrian",40,23,57.50%
CHEM 11,A06,"Mrse, Anthony Adrian",42,26,61.90%
CHEM 114A,A01,"Toor, Navtej",42,24,57.14%
CHEM 114A,A02,"Toor, Navtej",42,22,52.38%
CHEM 114A,A03,"Toor, Navtej",43,20,46.51%
CHEM 114A,A04,"Toor, Navtej",43,21,48.84%
CHEM 114A,A05,"Toor, Navtej",44,20,45.45%
CHEM 114A,A06,"Toor, Navtej",42,22,52.38%
CHEM 114A,A07,"Toor, Navtej",31,13,41.94%
CHEM 114D,A00,"Ghosh, Gourisankar",20,8,40.00%
CHEM 127,A01,"Galperin, Michael",39,18,46.15%
CHEM 127,A02,"Galperin, Michael",35,13,37.14%
CHEM 127,A03,"Galperin, Michael",30,8,26.67%
CHEM 130,A01,"Sinha, Amitabha",40,14,35.00%
CHEM 130,A02,"Sinha, Amitabha",37,20,54.05%
CHEM 130,A03,"Sinha, Amitabha",35,13,37.14%
CHEM 142,A00,"Esko, Jeffrey D.",14,5,35.71%
CHEM 142,A00,"Godula, Kamil",14,5,35.71%
CHEM 143C,A01,"Ternansky, Robert J.",19,7,36.84%
CHEM 143C,A02,"Ternansky, Robert J.",22,12,54.55%
CHEM 143C,A03,"Ternansky, Robert J.",22,6,27.27%
CHEM 143D,A01,"Weizman, Haim",16,7,43.75%
CHEM 152,A00,"Theodorakis, Emmanuel",59,21,35.59%
CHEM 154,A00,"Tor, Yitzhak",64,17,26.56%
CHEM 171,A01,"Grassian, Vicki Helene",43,19,44.19%
CHEM 171,A01,"Sullivan, Michael N",43,18,41.86%
CHEM 171,A02,"Grassian, Vicki Helene",37,13,35.14%
CHEM 171,A02,"Sullivan, Michael N",37,13,35.14%
CHEM 4,A50,"Hoeger, Carl",31,18,58.06%
CHEM 4,A51,"Hoeger, Carl",29,17,58.62%
CHEM 4,A52,"Hoeger, Carl",30,15,50.00%
CHEM 4,A53,"Hoeger, Carl",29,17,58.62%
CHEM 4,A54,"Hoeger, Carl",29,19,65.52%
CHEM 4,A55,"Hoeger, Carl",29,11,37.93%
CHEM 4,A56,"Hoeger, Carl",29,12,41.38%
CHEM 4,A57,"Hoeger, Carl",28,17,60.71%
CHEM 4,A58,"Hoeger, Carl",25,12,48.00%
CHEM 4,A59,"Hoeger, Carl",26,17,65.38%
CHEM 4,A60,"Hoeger, Carl",29,19,65.52%
CHEM 4,A61,"Hoeger, Carl",18,14,77.78%
CHEM 40A,A01,"Oconnor, Joseph M.",24,15,62.50%
CHEM 40A,A02,"Oconnor, Joseph M.",31,15,48.39%
CHEM 40A,A03,"Oconnor, Joseph M.",33,18,54.55%
CHEM 40A,A04,"Oconnor, Joseph M.",36,13,36.11%
CHEM 40A,A05,"Oconnor, Joseph M.",32,17,53.13%
CHEM 40A,A06,"Oconnor, Joseph M.",28,15,53.57%
CHEM 40A,A07,"Oconnor, Joseph M.",33,19,57.58%
CHEM 40A,A08,"Oconnor, Joseph M.",35,20,57.14%
CHEM 40A,A09,"Oconnor, Joseph M.",29,13,44.83%
CHEM 40A,B01,"Hirschauer, Sonia S",36,23,63.89%
CHEM 40A,B02,"Hirschauer, Sonia S",36,13,36.11%
CHEM 40A,B03,"Hirschauer, Sonia S",39,20,51.28%
CHEM 40A,B04,"Hirschauer, Sonia S",38,22,57.89%
CHEM 40A,B05,"Hirschauer, Sonia S",38,22,57.89%
CHEM 40A,B06,"Hirschauer, Sonia S",40,30,75.00%
CHEM 40A,C01,"Klosterman, Jeremy K",9,6,66.67%
CHEM 40A,C02,"Klosterman, Jeremy K",10,10,100.00%
CHEM 40A,C03,"Klosterman, Jeremy K",37,30,81.08%
CHEM 40A,C04,"Klosterman, Jeremy K",26,18,69.23%
CHEM 40A,C05,"Klosterman, Jeremy K",13,9,69.23%
CHEM 40A,C06,"Klosterman, Jeremy K",12,9,75.00%
CHEM 40A,C07,"Klosterman, Jeremy K",11,9,81.82%
CHEM 40A,C08,"Klosterman, Jeremy K",10,5,50.00%
CHEM 40A,D01,"Perrin, Charles L.",25,7,28.00%
CHEM 40A,D02,"Perrin, Charles L.",27,13,48.15%
CHEM 40A,D03,"Perrin, Charles L.",28,11,39.29%
CHEM 40A,D04,"Perrin, Charles L.",27,10,37.04%
CHEM 40A,D05,"Perrin, Charles L.",25,12,48.00%
CHEM 40A,D06,"Perrin, Charles L.",25,10,40.00%
CHEM 40A,D07,"Perrin, Charles L.",24,14,58.33%
CHEM 40A,D08,"Perrin, Charles L.",23,9,39.13%
CHEM 40A,D09,"Perrin, Charles L.",17,6,35.29%
CHEM 40A,D10,"Perrin, Charles L.",10,8,80.00%
CHEM 40A,E01,"Hoeger, Carl",42,13,30.95%
CHEM 40A,E02,"Hoeger, Carl",44,19,43.18%
CHEM 40A,E03,"Hoeger, Carl",43,20,46.51%
CHEM 40A,E04,"Hoeger, Carl",43,23,53.49%
CHEM 40A,E05,"Hoeger, Carl",44,19,43.18%
CHEM 40A,E06,"Hoeger, Carl",43,30,69.77%
CHEM 40A,E07,"Hoeger, Carl",43,25,58.14%
CHEM 40A,E08,"Hoeger, Carl",39,18,46.15%
CHEM 40B,A01,"Theodorakis, Emmanuel",43,16,37.21%
CHEM 40B,A02,"Theodorakis, Emmanuel",42,19,45.24%
CHEM 40B,A03,"Theodorakis, Emmanuel",40,10,25.00%
CHEM 40B,A04,"Theodorakis, Emmanuel",44,13,29.55%
CHEM 40B,A05,"Theodorakis, Emmanuel",36,13,36.11%
CHEM 40B,A06,"Theodorakis, Emmanuel",40,18,45.00%
CHEM 40B,A07,"Theodorakis, Emmanuel",39,14,35.90%
CHEM 40B,A08,"Theodorakis, Emmanuel",38,15,39.47%
CHEM 40B,A09,"Theodorakis, Emmanuel",40,16,40.00%
CHEM 40C,A01,"Albizati, Kim F.",37,14,37.84%
CHEM 40C,A02,"Albizati, Kim F.",42,11,26.19%
CHEM 40C,A03,"Albizati, Kim F.",37,10,27.03%
CHEM 40C,A04,"Albizati, Kim F.",42,15,35.71%
CHEM 40C,A05,"Albizati, Kim F.",30,10,33.33%
CHEM 40C,A06,"Albizati, Kim F.",39,11,28.21%
CHEM 40C,A07,"Albizati, Kim F.",41,16,39.02%
CHEM 40C,A08,"Albizati, Kim F.",42,13,30.95%
CHEM 40C,A09,"Albizati, Kim F.",44,15,34.09%
CHEM 43A,A01,"Ternansky, Robert J.",24,10,41.67%
CHEM 43A,A02,"Ternansky, Robert J.",24,6,25.00%
CHEM 43A,A03,"Ternansky, Robert J.",24,7,29.17%
CHEM 43A,A04,"Ternansky, Robert J.",23,9,39.13%
CHEM 43A,A05,"Ternansky, Robert J.",21,9,42.86%
CHEM 43A,A06,"Ternansky, Robert J.",22,12,54.55%
CHEM 43A,A07,"Ternansky, Robert J.",24,13,54.17%
CHEM 43A,A08,"Ternansky, Robert J.",24,9,37.50%
CHEM 43A,A09,"Ternansky, Robert J.",23,12,52.17%
CHEM 43A,A10,"Ternansky, Robert J.",24,15,62.50%
CHEM 43A,A11,"Ternansky, Robert J.",23,7,30.43%
CHEM 43A,A12,"Ternansky, Robert J.",24,11,45.83%
CHEM 43A,A13,"Ternansky, Robert J.",23,6,26.09%
CHEM 43A,A14,"Ternansky, Robert J.",24,13,54.17%
CHEM 43A,A15,"Ternansky, Robert J.",23,10,43.48%
CHEM 43A,A16,"Ternansky, Robert J.",23,11,47.83%
CHEM 43A,A17,"Ternansky, Robert J.",23,11,47.83%
CHEM 43A,A18,"Ternansky, Robert J.",21,7,33.33%
CHEM 43A,A19,"Ternansky, Robert J.",24,9,37.50%
CHEM 43A,A20,"Ternansky, Robert J.",19,7,36.84%
CHEM 6A,A01,"Hirschauer, Sonia S",39,25,64.10%
CHEM 6A,A02,"Hirschauer, Sonia S",39,31,79.49%
CHEM 6A,A03,"Hirschauer, Sonia S",41,30,73.17%
CHEM 6A,A04,"Hirschauer, Sonia S",39,29,74.36%
CHEM 6A,A05,"Hirschauer, Sonia S",41,28,68.29%
CHEM 6A,A06,"Hirschauer, Sonia S",41,31,75.61%
CHEM 6A,A07,"Hirschauer, Sonia S",41,37,90.24%
CHEM 6A,B01,"Zid, Brian M",42,23,54.76%
CHEM 6A,B02,"Zid, Brian M",41,26,63.41%
CHEM 6A,B03,"Zid, Brian M",42,24,57.14%
CHEM 6A,B04,"Zid, Brian M",41,19,46.34%
CHEM 6A,B05,"Zid, Brian M",42,24,57.14%
CHEM 6A,B06,"Zid, Brian M",41,23,56.10%
CHEM 6A,B07,"Zid, Brian M",41,28,68.29%
CHEM 6A,B08,"Zid, Brian M",42,29,69.05%
CHEM 6A,B09,"Zid, Brian M",40,23,57.50%
CHEM 6A,B10,"Zid, Brian M",41,25,60.98%
CHEM 6A,C01,"Brydges, Stacey",41,24,58.54%
CHEM 6A,C02,"Brydges, Stacey",40,26,65.00%
CHEM 6A,C03,"Brydges, Stacey",40,20,50.00%
CHEM 6A,C04,"Brydges, Stacey",44,22,50.00%
CHEM 6A,C05,"Brydges, Stacey",44,25,56.82%
CHEM 6A,C06,"Brydges, Stacey",41,26,63.41%
CHEM 6A,C07,"Brydges, Stacey",41,23,56.10%
CHEM 6A,C08,"Brydges, Stacey",42,26,61.90%
CHEM 6A,C09,"Brydges, Stacey",42,32,76.19%
CHEM 6A,C10,"Brydges, Stacey",41,20,48.78%
CHEM 6A,D01,"Lam, Tin Yiu",35,20,57.14%
CHEM 6A,D02,"Lam, Tin Yiu",45,29,64.44%
CHEM 6A,D03,"Lam, Tin Yiu",47,30,63.83%
CHEM 6A,D04,"Lam, Tin Yiu",44,21,47.73%
CHEM 6A,D05,"Lam, Tin Yiu",44,29,65.91%
CHEM 6A,D06,"Lam, Tin Yiu",44,31,70.45%
CHEM 6A,D07,"Lam, Tin Yiu",44,25,56.82%
CHEM 6A,D08,"Lam, Tin Yiu",44,28,63.64%
CHEM 6A,D09,"Lam, Tin Yiu",42,22,52.38%
CHEM 6A,E01,"Lam, Tin Yiu",45,23,51.11%
CHEM 6A,E02,"Lam, Tin Yiu",45,29,64.44%
CHEM 6A,E03,"Lam, Tin Yiu",45,23,51.11%
CHEM 6A,E04,"Lam, Tin Yiu",44,28,63.64%
CHEM 6A,E05,"Lam, Tin Yiu",43,26,60.47%
CHEM 6A,E06,"Lam, Tin Yiu",44,29,65.91%
CHEM 6A,E07,"Lam, Tin Yiu",44,32,72.73%
CHEM 6A,E08,"Lam, Tin Yiu",42,24,57.14%
CHEM 6A,F01,"Bussey, Thomas J",40,28,70.00%
CHEM 6A,F02,"Bussey, Thomas J",42,34,80.95%
CHEM 6A,F03,"Bussey, Thomas J",42,20,47.62%
CHEM 6A,F04,"Bussey, Thomas J",41,24,58.54%
CHEM 6A,F05,"Bussey, Thomas J",41,25,60.98%
CHEM 6A,F06,"Bussey, Thomas J",41,27,65.85%
CHEM 6A,F07,"Bussey, Thomas J",41,21,51.22%
CHEM 6A,F08,"Bussey, Thomas J",41,26,63.41%
CHEM 6A,F09,"Bussey, Thomas J",40,26,65.00%
CHEM 6A,F10,"Bussey, Thomas J",40,20,50.00%
CHEM 6A,G01,"Crowell, John E",21,11,52.38%
CHEM 6A,G02,"Crowell, John E",35,19,54.29%
CHEM 6A,G03,"Crowell, John E",38,25,65.79%
CHEM 6A,G04,"Crowell, John E",19,10,52.63%
CHEM 6A,G05,"Crowell, John E",9,5,55.56%
CHEM 6A,G06,"Crowell, John E",37,18,48.65%
CHEM 6A,G07,"Crowell, John E",27,17,62.96%
CHEM 6A,H01,"Albizati, Kim F.",41,23,56.10%
CHEM 6A,H02,"Albizati, Kim F.",42,24,57.14%
CHEM 6A,H03,"Albizati, Kim F.",41,26,63.41%
CHEM 6A,H04,"Albizati, Kim F.",43,27,62.79%
CHEM 6A,H05,"Albizati, Kim F.",40,24,60.00%
CHEM 6A,H06,"Albizati, Kim F.",40,26,65.00%
CHEM 6A,H07,"Albizati, Kim F.",42,22,52.38%
CHEM 6A,H08,"Albizati, Kim F.",42,26,61.90%
CHEM 6A,H09,"Albizati, Kim F.",39,24,61.54%
CHEM 6A,H10,"Albizati, Kim F.",37,22,59.46%
CHEM 6A,I01,"Swift, Robert Vernon",40,24,60.00%
CHEM 6A,I02,"Swift, Robert Vernon",25,12,48.00%
CHEM 6A,I03,"Swift, Robert Vernon",16,7,43.75%
CHEM 6A,I04,"Swift, Robert Vernon",30,19,63.33%
CHEM 6A,I05,"Swift, Robert Vernon",12,6,50.00%
CHEM 6A,I06,"Swift, Robert Vernon",20,12,60.00%
CHEM 6AH,A01,"Tauber, Michael",37,30,81.08%
CHEM 6AH,A02,"Tauber, Michael",42,35,83.33%
CHEM 6AH,A03,"Tauber, Michael",35,27,77.14%
CHEM 6B,A01,"Young, Mark",33,14,42.42%
CHEM 6B,A02,"Young, Mark",36,23,63.89%
CHEM 6B,A03,"Young, Mark",39,17,43.59%
CHEM 6B,A04,"Young, Mark",39,21,53.85%
CHEM 6B,A05,"Young, Mark",41,22,53.66%
CHEM 6B,A06,"Young, Mark",39,19,48.72%
CHEM 6C,A01,"Bussey, Thomas J",42,19,45.24%
CHEM 6C,A02,"Bussey, Thomas J",42,24,57.14%
